,대여소,Station,Distance
478,미래사랑어린이공원 앞,신도림,0.00218753953081732
479,신정이펜하우스 1단지아파트 입구 사거리,까치울,0.019548147620376346
480,필동 삼거리,충무로,0.002693917369640769
481,마곡문화공원,마곡,0.005003857637568305
482,뱅뱅사거리 랜드마크타워 앞,양재,0.007144474136015406
483,아시아선수촌아파트 교차로,종합운동장,0.00702603256082795
484,사육신공원앞,노들,0.005184436950616818
485,사당역10번출구(금강빌딩),사당,0.0025830817970033584
486,광화문 S타워 앞,광화문,0.0029283492811594224
487,양천구청역 1번출구,양천구청,0.001110002353360692
488,종묘,종로3가,0.0031393924826303822
489,리버뷰신안인스빌2차 후문,신도림,0.004282590248074263
490,구일역 1번 출입구 앞,구일,0.0013737353276329855
491,한림대학교 강남성심병원 신관,신대방,0.006396084100175739
492,삼성전자 물류센터 앞,구일,0.0010165827604909775
493,상도중앙하이츠빌 입구,상도,0.0031622205633997807
494,여의도고교 앞,여의나루,0.0030215774787533158
495,고척교 교차로,구일,0.001954157102212219
496,금강수목원아파트 앞,천왕,0.005282860559796144
497,KCC용산월츠타워,남영,0.004330708206997722
498,보라매역 8번출구,보라매,0.0006846872673715081
499,을지로4가역 9번출구,을지로4가,0.0008943892163950948
500,영일 어린이공원,영등포,0.006454212316943156
501,양평우림 이비즈센타 앞,영등포구청,0.00816197746627994
502,양평역2번출구 뒤,영등포구청,0.010127158899209971
503,등촌역 5번 출구 뒤,등촌,0.001115162143171829
504,서울숲역 4번 출구 옆,서울숲,0.0009703214142261004
505,목동1단지아파트 상가 앞,신목동,0.0066228480233191936
506,을지로입구역 2번출구,을지로입구,0.00046459197591992553
507,아시아지하보도 2번 출구,종합운동장,0.0054199069756372545
508,유원목동아파트 앞,오목교,0.003932070412448483
509,노들역 3번출구,노들,0.0013374483227716117
510,아크로타워 스퀘어(영등포시장),영등포시장,0.0020853624902287026
