산업,산업2,광고제목,광고부제목,날짜,링크
정보통신,이동통신,브랜드경험 & 활성화,,2021.11.30,https://play.tvcf.co.kr/852004
정보통신,이동통신,브랜디드 컨텐츠 비디오,,2021.11.30,https://play.tvcf.co.kr/852005
정보통신,이동통신,사운드,,2021.11.30,https://play.tvcf.co.kr/852010
정보통신,이동통신,시각효과,,2021.11.30,https://play.tvcf.co.kr/852011
정보통신,이동통신,아웃도어,,2021.11.30,https://play.tvcf.co.kr/852006
정보통신,이동통신,연출,,2021.11.30,https://play.tvcf.co.kr/852012
정보통신,이동통신,촬영,,2021.11.30,https://play.tvcf.co.kr/852013
정보통신,이동통신,크리에이티브 전략,,2021.11.30,https://play.tvcf.co.kr/852016
정보통신,이동통신,크리에이티브 효과,,2021.11.30,https://play.tvcf.co.kr/852017
정보통신,이동통신,편집,,2021.11.30,https://play.tvcf.co.kr/852014
정보통신,이동통신,프로덕션디자인,,2021.11.30,https://play.tvcf.co.kr/852015
정보통신,이동통신,홍보ㆍ전시ㆍ이벤트,,2021.11.30,https://play.tvcf.co.kr/852018
정보통신,이동통신,Covid-19 극복,,2021.11.30,https://play.tvcf.co.kr/852009
정보통신,이동통신,"Interactive, VR/AR",,2021.11.30,https://play.tvcf.co.kr/852007
정보통신,이동통신,TV,,2021.11.30,https://play.tvcf.co.kr/851995
정보통신,이동통신,TV,,2021.11.30,https://play.tvcf.co.kr/851994
정보통신,이동통신,Under 10sec,,2021.11.30,https://play.tvcf.co.kr/851991
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_배달의민족,2021.11.18,https://play.tvcf.co.kr/850792
정보통신,이동통신,LG유플러스 우리가게패키지,[ U+우리가게패키지 ] 우리가게 든든하게!_토마토세븐,2021.11.18,https://play.tvcf.co.kr/850791
정보통신,이동통신,LG유플러스 모바일tv,여행 애호가,2021.11.02,https://play.tvcf.co.kr/848170
정보통신,이동통신,LG유플러스 모바일tv,자동차 애호가,2021.11.02,https://play.tvcf.co.kr/848169
정보통신,이동통신,LG유플러스 모바일tv,OTT 매니아,2021.11.02,https://play.tvcf.co.kr/848168
정보통신,이동통신,LG유플러스 모바일tv,홈데코 애호가,2021.11.02,https://play.tvcf.co.kr/848167
정보통신,이동통신,LG유플러스 도전은행,우리의 도전으로 세상에 기부를 할 수 있다고? Why Not!,2021.10.28,https://play.tvcf.co.kr/847777
정보통신,이동통신,LG유플러스 도전은행,도전이 기부가 되는 도전은행,2021.10.22,https://play.tvcf.co.kr/847177
정보통신,이동통신,KT 5G 아이폰 13 Pro,"특별한 순간, 더 특별하게",2021.10.21,https://play.tvcf.co.kr/847053
정보통신,휴대폰/통신기기,DIGICO KT,배움의 릴레이,2022.08.07,https://play.tvcf.co.kr/882446
정보통신,휴대폰/통신기기,DIGICO KT AI 서비스로봇,"VLOG, 패밀리레스토랑 로(봇)맨스 | 알바 꿀팁 대방출 브이로그",2022.07.26,https://play.tvcf.co.kr/880569
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,이게 내가 플립을 들고 다니는 방법,2022.07.25,https://play.tvcf.co.kr/880563
정보통신,휴대폰/통신기기,삼성 갤럭시 Z 플립3,이게 내가 플립을 들고 다니는 방법,2022.07.25,https://play.tvcf.co.kr/880562
정보통신,휴대폰/통신기기,아이폰,진동,2022.07.19,https://play.tvcf.co.kr/879998
정보통신,휴대폰/통신기기,삼성 갤럭시 X COVER 5,발표영상 Highligh,2022.07.19,https://play.tvcf.co.kr/879862
정보통신,휴대폰/통신기기,아이폰,물벼락에도 꿋꿋,2022.07.19,https://play.tvcf.co.kr/879997
정보통신,휴대폰/통신기기,애플워치 7,사상 가장 탁월한 내구성,2022.07.05,https://play.tvcf.co.kr/878332
정보통신,휴대폰/통신기기,삼성 갤럭시 S22,Night graphy,2022.06.15,https://play.tvcf.co.kr/875213
정보통신,휴대폰/통신기기,KT,우리집 막내 댕댕이의 건강을 생각한다면? [kt 반려견 초이스],2022.06.13,https://play.tvcf.co.kr/874885
정보통신,휴대폰/통신기기,삼성 갤럭시,Google Duo,2022.06.13,https://play.tvcf.co.kr/874841
정보통신,휴대폰/통신기기,삼성 갤럭시,Sleep Tracking,2022.06.13,https://play.tvcf.co.kr/874840
정보통신,휴대폰/통신기기,삼성 갤럭시,Smart Switch,2022.06.13,https://play.tvcf.co.kr/874843
정보통신,휴대폰/통신기기,삼성 갤럭시,BIA tracking,2022.06.13,https://play.tvcf.co.kr/874844
